OSCNETPLUS Image Quality Evaluation
Date: 2025-03-14 12:24:17
Results Directory: /home/mcosta/PycharmProjects/OSCNet/OSCNet/save_results

Filename                         PSNR        SSIM
--------------------------------------------------
1714.png                        38.17      0.9929
1715.png                        40.18      0.9940
1716.png                        39.74      0.9934
1717.png                        36.05      0.9856
1718.png                        36.83      0.9813
1719.png                        36.96      0.9900
172.png                         33.99      0.9766
1720.png                        38.81      0.9916
1721.png                        41.27      0.9854
1722.png                        32.58      0.9653
1723.png                        38.56      0.9782
1724.png                        46.32      0.9928
1725.png                        45.64      0.9934
1726.png                        46.23      0.9944
1727.png                        35.71      0.9787
1728.png                        33.81      0.9667
1729.png                        42.40      0.9908
173.png                         32.94      0.9836
1730.png                        41.85      0.9894
1731.png                        45.59      0.9779
1732.png                        33.49      0.9611
1733.png                        41.97      0.9703
1734.png                        46.88      0.9908
1735.png                        46.91      0.9916
1736.png                        47.95      0.9926
1737.png                        38.44      0.9768
1738.png                        36.56      0.9587
1739.png                        42.94      0.9874
174.png                         43.39      0.9928
1740.png                        45.14      0.9892
1741.png                        42.91      0.9868
1742.png                        30.31      0.9713
1743.png                        31.75      0.9775
1744.png                        42.43      0.9912
1745.png                        42.75      0.9933
1746.png                        45.39      0.9933
1747.png                        39.28      0.9826
1748.png                        33.65      0.9671
1749.png                        42.54      0.9906
175.png                         40.60      0.9930
1750.png                        41.41      0.9897
1751.png                        44.90      0.9878
1752.png                        32.50      0.9686
1753.png                        34.83      0.9727
1754.png                        45.62      0.9910
1755.png                        46.71      0.9924
1756.png                        43.42      0.9923
1757.png                        37.40      0.9826
1758.png                        34.98      0.9713
1759.png                        42.27      0.9893
176.png                         42.02      0.9932
1760.png                        43.77      0.9909
1761.png                        33.22      0.9908
1762.png                        32.66      0.9770
1763.png                        31.83      0.9835
1764.png                        44.68      0.9943
1765.png                        43.31      0.9951
1766.png                        44.90      0.9956
1767.png                        37.19      0.9867
1768.png                        35.79      0.9807
1769.png                        41.03      0.9920
177.png                         36.49      0.9837
1770.png                        44.81      0.9942
1771.png                        30.59      0.9869
1772.png                        32.28      0.9774
1773.png                        30.62      0.9830
1774.png                        43.39      0.9935
1775.png                        41.17      0.9943
1776.png                        43.44      0.9929
1777.png                        37.74      0.9869
1778.png                        38.05      0.9831
1779.png                        44.47      0.9925
178.png                         37.68      0.9776
1780.png                        42.58      0.9928
1781.png                        42.58      0.9933
1782.png                        33.30      0.9780
1783.png                        31.03      0.9840
1784.png                        38.78      0.9927
1785.png                        38.92      0.9943
1786.png                        41.17      0.9931
1787.png                        37.01      0.9860
1788.png                        36.91      0.9799
1789.png                        41.03      0.9921
179.png                         42.75      0.9918
1790.png                        39.09      0.9918
1791.png                        41.73      0.9913
1792.png                        33.17      0.9793
1793.png                        36.06      0.9841
1794.png                        42.19      0.9935
1795.png                        45.52      0.9950
1796.png                        43.91      0.9949
1797.png                        41.20      0.9864
1798.png                        37.43      0.9767
1799.png                        40.29      0.9908
18.png                          38.09      0.9768
180.png                         41.89      0.9920
1800.png                        41.49      0.9912
