OSCNet Image Quality Evaluation
Date: 2025-03-12 17:22:40
Results Directory: /home/mcosta/PycharmProjects/OSCNet/OSCNet/save_results

Filename                         PSNR        SSIM
--------------------------------------------------
1576.png                        44.03      0.9952
1577.png                        39.29      0.9863
1578.png                        34.80      0.9728
1579.png                        42.07      0.9925
158.png                         38.01      0.9754
1580.png                        41.19      0.9921
1581.png                        41.35      0.9936
1582.png                        32.41      0.9807
1583.png                        32.51      0.9835
1584.png                        45.19      0.9942
1585.png                        43.14      0.9938
1586.png                        44.19      0.9952
1587.png                        42.54      0.9898
1588.png                        41.94      0.9839
1589.png                        39.70      0.9918
159.png                         44.96      0.9911
1590.png                        44.02      0.9930
1591.png                        38.89      0.9925
1592.png                        33.76      0.9809
1593.png                        36.05      0.9874
1594.png                        48.56      0.9951
1595.png                        43.18      0.9941
1596.png                        49.60      0.9949
1597.png                        39.54      0.9883
1598.png                        38.04      0.9823
1599.png                        47.99      0.9944
16.png                          47.82      0.9916
160.png                         42.59      0.9886
1600.png                        48.35      0.9942
1601.png                        38.99      0.9925
1602.png                        34.83      0.9820
1603.png                        29.64      0.9834
1604.png                        48.92      0.9959
1605.png                        42.32      0.9937
1606.png                        49.36      0.9960
1607.png                        39.18      0.9901
1608.png                        38.00      0.9840
1609.png                        45.28      0.9949
161.png                         41.06      0.9890
1610.png                        47.96      0.9945
1611.png                        36.51      0.9925
1612.png                        37.03      0.9841
1613.png                        33.98      0.9858
1614.png                        45.47      0.9941
1615.png                        43.44      0.9939
1616.png                        45.39      0.9943
1617.png                        41.62      0.9896
1618.png                        38.41      0.9807
1619.png                        43.10      0.9924
162.png                         36.01      0.9771
1620.png                        45.10      0.9928
1621.png                        37.65      0.9921
1622.png                        35.73      0.9813
1623.png                        35.47      0.9844
1624.png                        48.31      0.9939
1625.png                        43.37      0.9930
1626.png                        49.14      0.9941
1627.png                        40.62      0.9883
1628.png                        38.79      0.9807
1629.png                        46.30      0.9918
163.png                         36.40      0.9826
1630.png                        46.55      0.9917
1631.png                        43.38      0.9914
1632.png                        37.63      0.9808
1633.png                        39.64      0.9857
1634.png                        47.84      0.9939
1635.png                        43.73      0.9929
1636.png                        47.78      0.9940
1637.png                        39.25      0.9852
1638.png                        36.84      0.9766
1639.png                        44.72      0.9904
164.png                         43.62      0.9912
1640.png                        47.56      0.9932
